#Cluster	Sample size	Presence SNPs	Absence SNPs	Filtered presence SNPs	Filtered absence SNPs	Presence markers	Absence markers	Filtered presence markers	Filtered absence markers
L4.2.2.1.1	11	60	0	60	0	60	0	60	0
L4.2.2.1.2	108	53	0	51	0	51	0	51	0
L4.2.2.1.2.1	17	54	0	52	0	52	0	52	0
L4.2.2.1.2.2	91	81	0	81	0	81	0	81	0
L4.2.2.1.2.2.1	20	0	0	0	0	0	0	0	0
L4.2.2.1.2.2.2	61	10	0	10	0	10	0	10	0
L4.2.2.1.2.2.2.1	36	50	0	50	0	50	0	50	0
L4.2.2.1.2.2.2.2	24	78	0	75	0	75	0	75	0
L4.2.2.2.1	37	71	0	71	0	71	0	71	0
L4.2.2.2.2	630	0	9	0	9	27	0	27	0
L4.2.2.2.2.1	124	15	0	13	0	13	0	13	0
L4.2.2.2.2.2	506	0	81	0	81	243	0	243	0
L4.2.2.2.2.1.1	46	5	0	5	0	5	0	5	0
L4.2.2.2.2.1.2	78	3	0	3	0	3	0	3	0
L4.2.2.2.2.1.2.1	26	252	0	250	0	250	0	250	0
L4.2.2.2.2.1.2.2	52	20	0	20	0	20	0	20	0
L4.2.2.2.2.1.2.2.1	27	51	0	51	0	51	0	51	0
L4.2.2.2.2.1.2.2.2	18	53	0	53	0	53	0	53	0
L4.2.2.2.2.2.1	25	11	0	11	0	11	0	11	0
L4.2.2.2.2.2.2	475	0	14	0	14	42	0	42	0
L4.2.2.2.2.2.2.1	334	25	0	25	0	25	0	25	0
L4.2.2.2.2.2.2.2	140	0	63	0	63	189	0	189	0
L4.2.2.2.2.2.2.1.1	31	21	0	21	0	21	0	21	0
L4.2.2.2.2.2.2.1.2	301	0	0	0	0	0	0	0	0
L4.2.2.2.2.2.2.1.2.1	34	5	0	5	0	5	0	5	0
L4.2.2.2.2.2.2.1.2.2	267	30	0	30	0	30	0	30	0
L4.2.2.2.2.2.2.1.2.2.1	12	166	0	164	0	164	0	164	0
L4.2.2.2.2.2.2.1.2.2.2	255	34	0	34	0	34	0	34	0
L4.2.2.2.2.2.2.1.2.2.2.1	20	11	0	11	0	11	0	11	0
L4.2.2.2.2.2.2.1.2.2.2.2	234	4	0	4	0	4	0	4	0
L4.2.2.2.2.2.2.1.2.2.2.2.1	209	3	0	3	0	3	0	3	0
L4.2.2.2.2.2.2.1.2.2.2.2.2	20	0	0	0	0	0	0	0	0
L4.2.2.2.2.2.2.1.2.2.2.2.1.1	13	2	0	2	0	2	0	2	0
L4.2.2.2.2.2.2.1.2.2.2.2.1.2	195	18	0	18	0	18	0	18	0
L4.2.2.2.2.2.2.1.2.2.2.2.1.2.1	28	22	0	22	0	22	0	22	0
L4.2.2.2.2.2.2.1.2.2.2.2.1.2.2	167	10	0	10	0	10	0	10	0
L4.2.2.2.2.2.2.2.1	75	6	0	6	0	6	0	6	0
L4.2.2.2.2.2.2.2.2	62	0	3	0	3	9	0	9	0
L4.2.2.2.2.2.2.2.1.1	10	101	0	101	0	101	0	101	0
L4.2.2.2.2.2.2.2.1.2	65	94	0	94	0	94	0	94	0
L4.2.2.2.2.2.2.2.1.2.1	10	0	0	0	0	0	0	0	0
L4.2.2.2.2.2.2.2.1.2.2	54	24	0	24	0	24	0	24	0
L4.2.2.2.2.2.2.2.1.2.2.1	21	1	0	1	0	1	0	1	0
L4.2.2.2.2.2.2.2.1.2.2.2	30	0	0	0	0	0	0	0	0
L4.2.2.2.2.2.2.2.2.1	10	0	0	0	0	0	0	0	0
L4.2.2.2.2.2.2.2.2.2	38	0	3	0	3	9	0	9	0
L5	19	618	0	616	0	616	0	614	0
L6-LB	84	178	0	178	0	178	0	178	0
L6.1	15	60	0	58	0	58	0	58	0
L6.2	14	163	0	161	0	161	0	161	0
L6	29	442	0	438	0	438	0	436	0
LB	55	55	0	51	0	51	0	51	0
L1-L2-L3-L4	5890	0	70	0	64	192	0	186	0
L5-L6-LB	103	71	0	65	0	65	0	63	0
